date,name,colorfulness,contour_count,contrast,dissimilarity,homogeneity,schizophrenia
1991-05-14,"/src/cis107-dataset-main/schizophrenia/Charnley, 14 May 1991",66.90368059983376,255,1712.2995789603867,27.952136757911365,0.06389472385850051,1
1991-07-19,"/src/cis107-dataset-main/schizophrenia/Charnley, 19 July 1991",99.89908499275595,114,582.7372644979381,14.420797781275889,0.0944256263816167,1
1991-05-23,"/src/cis107-dataset-main/schizophrenia/Charnley, 23 May 1991",72.68022879478704,254,1235.4432585019185,22.741590954874844,0.0836080986475405,1
1991-07-12,"/src/cis107-dataset-main/schizophrenia/Charnley, 12 July 1991",43.55150013163221,798,1141.2091149052835,22.49447307448924,0.08003949369403764,1
1991-06-27,"/src/cis107-dataset-main/schizophrenia/Charnley, 27 June 1991",38.738102504167735,619,1483.2818362869918,25.49045174666758,0.06987409837399426,1
1991-04-29,"/src/cis107-dataset-main/schizophrenia/Charnley, 29 April 1991",84.50469127799755,181,1061.4441393973138,21.74347993820707,0.09472210358403987,1
1991-04-24,"/src/cis107-dataset-main/schizophrenia/Charnley, 24 April 1991",16.795328247625186,291,3859.0533014357648,37.472828057138386,0.09824415597703277,1
1991-04-20,"/src/cis107-dataset-main/schizophrenia/Charnley, 20 April 1991",70.04296836769954,524,1709.131561615608,29.858766821949914,0.04261359624034833,1
1991-06-08,"/src/cis107-dataset-main/schizophrenia/Charnley, 8 June 1991",58.050589729592076,193,1058.440217227435,20.739726078092488,0.0790486484569671,1
1991-06-19,"/src/cis107-dataset-main/schizophrenia/Charnley, 19 June 1991",68.28876960277836,711,1554.569255716399,27.116022255790224,0.05949787124506296,1
1991-05-06,"/src/cis107-dataset-main/schizophrenia/Charnley, 6 May 1991",80.4045821501569,280,780.4187090679501,19.057045233985193,0.07406138850630657,1
1991-05-18,"/src/cis107-dataset-main/schizophrenia/Charnley, 18 May 1991",54.078603193094935,948,2101.9069566935123,33.08592691792195,0.043535038445829385,1
1991-05-24,"/src/cis107-dataset-main/schizophrenia/Charnley, 24 May 1991",52.976719131099756,1427,2531.8926963169774,37.1420299596591,0.036418599715912804,1
1991-04-23,"/src/cis107-dataset-main/schizophrenia/Charnley, 23 April 1991",52.011202671533425,457,3572.6215838038324,38.61055648814438,0.08269704777977734,1
